Text Snippet,URLFound,Day,Month,Year,Sentiment Value
"Nimbic’s nCloud scalable cloud compute platform facilitates em integrity analysis for complex designs cost-effectively and in near real time. Nimbic’s customers include Texas Instruments, Renesas, nVidia, Toshiba, Qualcomm, Samsung, Freescale, LG & Panasonic. For more information, visit www.nimbic.com. ",http://www.element14.com/community/thread/31108?start=0&tstart=0,30,1,2014,112
Freescale: Getting Started with Freescale Development Tools Brochure Not FoundThe requested URL /community/servlet/JiveServlet/downloadBody/30118-102-2-243525/Freescale/HCS08/S08AC/MC9S08AC16/Learning Centre MCU/Press Release/Freescale.Press_Release_2.pdf was not found on this server. ,http://www.element14.com/community/thread/29226?start=0&tstart=0,12,12,2013,121
"Very intersting combination of a Freescale ARM i.MX6 and Arduino Due base board. http://www.kickstarter.com/projects/435742530/udoo-android-linux-arduino-in-a-tiny-single-board Looks like target price will be in the $109 range, obviously more expensive than the Rpi but with plenty of more features, more memory, better MCU, etc. ",http://www.element14.com/community/thread/23391?start=0&tstart=0,11,4,2013,31
Meet us at Stand 309 in Hall 4 Freescale is proud Gold Sponsor of Student Day at Embedded World 2012.Come and see The Freescale Cup demo during the whole duration of the exhibition in connecting hall between East Entrance and Hall 4. Email us your contact info at EW2012@freescale.com to get a free day pass. ,http://www.element14.com/community/thread/15801?start=0&tstart=0,16,12,2011,312
"Everyone who joins the conversation will be entered to win a XL STAR development board. Jointly developed by element14 and Freescale, the XL STAR combines a Freescale 8-bit MCU, a three-axis accelerometer, and open source BDM interface. (You'll need to log in to element14 to reply to this thread. ",http://www.element14.com/community/thread/15385?start=0&tstart=0,18,11,2011,311
"Text and photograph available: http://www.congatec.com/press  Visit congatec at electronica 13 – 16 November 2012  Hall A6, Stand 306   Press release 17/2012  congatec AG enters software partnership with Adeneo Embedded to offer BSPs for ARM modules  Munich, electronica, 13. November 2012   * * *  congatec AG, a leading manufacturer of embedded computer modules, has entered into partnership with Adeneo Embedded to deliver ready-to-use board support packages for the Freescale ARM Cortex A9 i.MX 6 Series based modules. Thanks to this new software partnership, congatec’s worldwide customer base can now benefit from a cost-effective end-to-end solution enabling them to speed up the development of Windows Embedded and embedded Linux devices. ",http://www.element14.com/community/thread/20734?start=0&tstart=0,15,11,2012,113
"The standardization of ARM processors has increased in line with the rise in high-performance mobile multimedia devices, leading to more tightly integrated, less application-specific processors with reliable, well-defined interfaces. Freescale's brand new i.MX6 family is ideal for the Qseven module form factor, which provides both standard PC interfaces as well as traditional industrial interfaces on the chip. “Freescale’s outstanding embedded expertise plus scalability and long term availability of at least 10 years of the i.MX6 family make these processors the perfect choice for ARM-based COMs,” says congatec CEO Gerhard Edi. The integrated graphics core is designed for multimedia applications with a video processor unit (VPU), 2D and 3D graphics (GPU2D/3D), four shaders with up to 200 MT/s (million triangles/second) and a dual stream of 1080p/720p. ",http://www.element14.com/community/thread/16870?start=0&tstart=0,28,2,2012,1111
"The good thing is that the SoC itself is fairly decently supported, so there's only a couple of pieces of the puzzle left for us to do. I'm hoping that u-Boot v2014.04 will be released tomorrow which will open the way for Eric Bénards RIoTboard patches to be merged. Once that's done I'll write up a u-boot howto, followed by details on how to build a kernel and rootfs. ",http://www.element14.com/community/thread/32447?start=30&tstart=0,13,4,2014,111
I'm trying to use my raspberrypi to open a putty serial connection with my riotboard. But it seems I've scrambled the riotboard's brains with my windows computers. It now gives me a grey screen where the android logo used to show up. ,http://www.element14.com/community/thread/32447?start=75&tstart=0,4,6,2014,112
"congatec provides its BSP based on version 1.5.1 (Dora), so users may create their own Yocto project according to the specific application involved.From now on, the Yocto project BSP is available for the conga-QMX6 module. The Computer-On-Module (COM) is equipped with the Freescale i.MX6 ARM Cortex A9 processor family, scalable from 1 to 4 ARM cores. With its modern 3D-compatible High End HD graphic interface, it is particularly suitable for demanding multimedia applications. ",http://www.element14.com/community/thread/31853?start=0&tstart=0,25,2,2014,111
"But it will be very helpfull to know if there was some people which succeded with yocto( and how they have done it ). Yocto seem's to be the freescale prefered linux distribution, and well it's seem very cool. Thanks, ",http://www.element14.com/community/thread/23674?start=0&tstart=0,28,4,2013,132
Hi John. I have Riotboard up & running using the ubuntu 11.10 distribution and have got Python IDLE working through ssh tunneling and xwindows. I am currently learning how to use the python pyo library as I am interested in audio programming.I have audio working fine but am having trouble with MIDI. ,http://www.element14.com/community/thread/32447?start=75&tstart=0,7,6,2014,211
"Mickael Viot, Medical Leader EMEA, Freescale Title: How semiconductors ease the future of drug and device convergence Start your discussion here on this session, ask question and share your thoughts. View other Sessions:http://www.element14.com/community/groups/innovation-series ",http://www.element14.com/community/thread/16190?start=0&tstart=0,17,1,2012,12
"*/
  //.pwm_id = 3,
  .pwm_id = 2,     // PWM3
  .max_brightness = 248,
  .dft_brightness = 128,
  .pwm_period_ns = 50000,
};
This structure is used later in the mx6_RIoTboard_board_init(void) function. imx6q_add_mxc_pwm(0);
  imx6q_add_mxc_pwm(1);
  imx6q_add_mxc_pwm(2); //PWM3 for my LCD
  imx6q_add_mxc_pwm(3);
  //imx6q_add_mxc_pwm_backlight(3, &mx6_RIoTboard_pwm_backlight_data); // Not used anymore
  imx6q_add_mxc_pwm_backlight(2, &mx6_RIoTboard_pwm_backlight_data);
Finally, as far as I can remember, the last thing I had to edit was the init.rc file in android-imx6-jb4.3-1.0.0/device/fsl/RIoTboard_6solo/. Everywhere it said ""3"" I changed it to 2. ",http://www.element14.com/community/thread/32894?start=0&tstart=0,17,7,2014,12111101
"As engineers move closer to developing robots that perform human tasks, many are asking: How human do I want this robot to be? During the opening keynote of the recent Freescale Technology Forum (FTF), Freescale's medical segment marketing manager, David Niewolny, demonstrated an on-stage application of a communications robot. The robot enabled a patient in bed to talk to his doctor via an onboard video screen. ",http://www.element14.com/community/thread/13653?start=0&tstart=0,6,7,2011,213
"Well 5 month ago I try to purchase a suite from CodeWarrior Freescale and it was impossible for me to decide. I wanted just to buy only the architecture that I needed and the system kept sending me to another place, Today I give Freecale another try. ",http://www.element14.com/community/thread/16391?start=0&tstart=0,26,1,2012,11
"Harm-André Verhoef, Product Manager for TASKING at Altium Image available: info@prismapr.com  Altium releases new TASKING C compilers for Power Architecture and RH850, targeting ISO 26262 application development  Karlsruhe, Germany, 16 October 2012 – Altium has released two completely new TASKING C compiler solutions for automotive application development, delivering support for the RH850 microcontrollers from Renesas and the Power Architecture® based microcontrollers from the Freescale Qorivva/5xxx and STMicroelectronics SPC56 series. These new development solutions extend the range of popular TASKING toolsets for automotive microcontrollers like XC2000, ARM, ST10 and TriCore. ",http://www.element14.com/community/thread/20249?start=0&tstart=0,16,10,2012,11
"The soft-float toolchain could be built conservatively enough that it's code runs on just about anything (with the caveat that it looks like the fp emulator is about to be pulled out of the kernel, at which point it won't run at all). I've taken a Debian (IIRC) armel filesystem off a raspberry pi and put it onto an i.MX53QSB without problems The one obvious problem is that you can't easily mix the pieces - you can't have a armhf app linked to an armel library due to differences in calling conventions. This also makes bootstrapping to a non-native arch rather more interesting. ",http://www.element14.com/community/thread/23954?start=0&tstart=0,10,5,2013,101
"Hi John, how install wifi on riotboard? ",http://www.element14.com/community/thread/32447?start=15&tstart=0,3,4,2014,1
"Adeneo Embedded, a worldwide leader in embedded operating system integration with facilities in Europe and the US, provides thoroughly tested high quality BSPs to a wide range of vertical markets worldwide. Adeneo is a member of the Freescale ""Design Alliance"" program and the official partner of Freescale for Windows Embedded Compact, Android and Embedded Linux developments on i.MX architectures. Leveraging Adeneo’s extensive software and system integration expertise for ARM Freescale processors, congatec initially offers BSPs for the conga-QMX6 Qseven modules based on the ARM Cortex-A9 Freescale i.MX6x series. Sporting a sophisticated high-end, 3D-ready HD graphics core, the conga-QMX6 Computer-on-Modules (COMs) are designed for advanced multi-media applications. ",http://www.element14.com/community/thread/20734?start=0&tstart=0,15,11,2012,3111
"Thank you very much for your guide. I followed your solution which lead me to bootable rootfs, but unfortunately when system starts booting on my RiotBoard it hangs after loading openssh and die on that place. Have you experienced this kind of state? ",http://www.element14.com/community/thread/32011?start=0&tstart=0,23,3,2014,312
Freescale: Product Brief for 3-phase BLDC/PMSM Low Voltage Motor Control Kit Not FoundThe requested URL /community/servlet/JiveServlet/downloadBody/31922-102-4-243750/Freescale/HCS08/S08MP/MC9S08MP16DS/Development Kits/3PHASELV-KIT/Learning Centre/Product Brief_Fact Sheets/Freescale.Fact_Sheet_1.pdf was not found on this server. ,http://www.element14.com/community/thread/29241?start=0&tstart=0,12,12,2013,121
"Freescale's new Ready Play solutions integrate certified functionality to different applications, allowing customers to add features while reducing development cost, simplifying design cycles and enabling scalability in applications and systems. Freescale is developing a complete range of Ready Play solutions. By implementing capacitive and resistive technologies in a single, turnkey device, customers can reduce software development costs, board space and time to market while adding additional features to their products. ",http://www.element14.com/community/thread/16085?start=0&tstart=0,28,3,2012,111
"), type (SABRE_AI,SMART_DEVICE,EVK,EVB? )  
The board is designed and manufactured by Embest / element14, not Freescale, so I wouldn't expect it'll match any of those Freescale reference boards. It might be close to some, but I'd be surprised if you find full support for this board in the SDK. ",http://www.element14.com/community/thread/32447?start=15&tstart=0,8,4,2014,101
"We will sponsor the conferneces below: 09:0009:45Where Will You Begin Your Next Embedded Design?Start with the CPU, the peripherals or further away from hardware? Jean Labrosse, Micrium09:4510:30Migrating to Multicore Example of an ecosystem and outlook on how multicore products will scale in future Jean-Christophe Bodet, Freescale11:0012:30Future Challenges Are next-generation engineers and programmers ready for next-generation design challenges? Panelled discussion and debate More information on the whole Embedded Platform Conferences programme here How to participate? ",http://www.element14.com/community/thread/20216?start=0&tstart=0,17,10,2012,111
"I spent a lot of hours waiting for the whole system to build over and over again when I was making small changes that only required the kernel to be recompiled. Say I change the mux of a pin in board-mx6dl_RIoTboard.h. Go to the /kernel_imx directory, clean the build, rebuild it. ",http://www.element14.com/community/thread/32894?start=15&tstart=0,18,7,2014,111
"?How should i revolutionize it without wifi-support?Is there any plan, Roadmap or hack for supporting wifi on the riotboard with android? Will there be ANY continuously support for the boards like android updates?The freescale ota update seems to need wifi (with no wifi?!?). Or is this Project closed with current android and Linux Image?And the community should help itself?Thanks ",http://www.element14.com/community/thread/33334?start=0&tstart=0,28,4,2014,221122
"Usefully supporting Linux (or even getting it to run) on sub $10 hardware is going to be challenging, and as we've seen with the Pi/BBB if you do then you'll just have a hoard of XBMC junkies complaining it doesn't have a decent GPU Some middle ground is needed here, something with enough of a bsdsockets api to be both useful and familiar territory for the application developers would be a good start. At least STM32* and Kinetis devices that have onboard ethernet mac are available, but once you add a phy and magnetics I suspect you may have blown the $10 budget. High volume could help with that, but I wonder if the market is ready for something like this. ",http://www.element14.com/community/thread/29950?start=0&tstart=0,31,12,2013,111
"ERROR: HDMI is not ready! asoc: can't open platform imx-hdmi-soc-audio.0
warning: `zygote' uses 32-bit capabilities (legacy support in use)
request_suspend_state: wakeup (3->0) at 21086361672 (1970-01-02 00:00:07.9817756
68 UTC)
eth0: Freescale FEC PHY driver [Generic PHY] (mii_bus:phy_addr=1:04, irq=-1)
ADDRCONF(NETDEV_UP): eth0: link is not ready
acc_open
acc_release
ehci_fsl_bus_resume begins, Host 1
ehci_fsl_bus_resume ends, Host 1
ehci_fsl_bus_resume begins, DR
ehci_fsl_bus_suspend begins, Host 1
ehci_fsl_bus_suspend ends, Host 1
init: sys_prop: permission denied uid:1003  name:service.bootanim.exit ",http://www.element14.com/community/thread/32447?start=15&tstart=0,2,4,2014,11
"I deferred a purchase as I didn't expect to have time to work with it in December anyway, but I'll probably be ordering one of them shortly. I might relent on foreign ordering as I find the i.MX6 quad more tempting and we're about to get invaded with A20 product from Olimex anyway ... Oh, and Happy New Year 2014 to all! Morgaine. ",http://www.element14.com/community/thread/29112?start=0&tstart=0,1,1,2014,132
Here is a video taken at the Mexico Freescale Cup with Tech. Monterrey... just a flavor of what is coming to EMEA: http://youtu.be/j67qN9NTLSs?hd=1 ,http://www.element14.com/community/thread/12736?start=0&tstart=0,29,4,2011,12
"And I agree, if you're looking on diving into something at the chip level, a smaller microcontroller might be a better option. The Riotboard uses a MPU, which is more for running at the OS level. ",http://www.element14.com/community/thread/32447?start=30&tstart=0,9,4,2014,12
"The race is on....all registered teams are getting their kits including Freescale Qorivva MPC5603B MCU Trak board, Motor Control Analog board featuring Freescale's MC33931VWMC33931VW$j(document).ready(function() {productSearch.enableProductLinkIfAvailable('addProduct-2IjEkYrp','MC33931VW','56P3106');});
 H-Bridge, CMOS camera board, car kit and accessories. Just can't wait to see progress reports, videos and other updates ",http://www.element14.com/community/thread/12736?start=0&tstart=0,28,9,2011,111
"This one: http://boundarydevices.com/ltib-on-i-mx6-without-x/ . Since I am doing nfs boots the booting process stops when the kernel completes booting, ie here:  ...Bluetooth: BNEP (Ethernet Emulation) ver 1.3Bluetooth: BNEP filters: protocol multicastBluetooth: HIDP (Human Interface Emulation) ver 1.2lib80211: common routines for IEEE802.11 driversVFP support v0.3: implementor 41 architecture 3 part 30 variant 9 rev 4Bus freq driver module loadedBus freq driver Enabledmxc_dvfs_core_probeDVFS driver module loadedregulator_init_complete: vddpu: incomplete constraints, leaving onsnvs_rtc snvs_rtc.0: setting system clock to 1970-01-01 03:12:50 UTC (11570)eth0: Freescale FEC PHY driver [Micrel KSZ9021 Gigabit PHY] (mii_bus:phy_addr=1:06, irq=284)PHY: 1:06 - Link is Up - 100/FullSending DHCP requests ., OKIP-Config: Got DHCP answer from 10.0.0.1, my address is 10.0.0.192IP-Config: Complete:     device=eth0, addr=10.0.0.192, mask=255.255.255.0, gw=10.0.0.1,     host=imx6_armboard, domain=, nis-domain=(none),     bootserver=10.0.0.1, rootserver=10.0.0.193, rootpath=VFS: Mounted root (nfs filesystem) on device 0:13.Freeing init memory: 192Kafterwards asupposedly the /etc/rc.d/rcS init script is run (? ) . ",http://www.element14.com/community/thread/21830?start=15&tstart=0,15,3,2013,201112
"Hello John McLellan, I have recently used Ubuntu in RIoTBoard and was good but: Do you have image of Debian for RIoTBoard?Also do you have alsa sound driver for ""Debian RIoT""? Best regards. ",http://www.element14.com/community/thread/32447?start=0&tstart=0,24,3,2014,13
Hello MCU_userFreescale TSS library memory size is 4KBThus is recommended that you use a MCU with 8 KB in order to have enough memory for the application and the TSS library. ,http://www.element14.com/community/thread/17913?start=0&tstart=0,24,4,2012,1
Steven Scutt has found one that is working.You find the thread here:Re: A newcomer asks about Riotboard HDMI... ,http://www.element14.com/community/thread/32447?start=90&tstart=0,12,6,2014,1
3 universities will attend Embedded World and show their car developments in preparation for the European Finals. Come cheer for your favorite one28Feb: University of Applied Sciences Deggendorf29Feb: Czech Technology University Prague01Mar: University of Applied Sciences LandshutDo you have a Freescale Cup Car you wish to test on the track? Contact me for getting an invite! ,http://www.element14.com/community/thread/12636?start=15&tstart=0,9,1,2012,212
"Hi Everyone. We just learned that our friends at Freescale are giving away 10 RIoTBoards this month to EE Times' European readers. If you're in Europe, you can enter the giveaway here. ",http://www.element14.com/community/thread/32007?start=0&tstart=0,3,3,2014,213
"The Freescale Cup 2012/2013 season was launched on 01Jul12 with 32 participating schools and over 110 student teams from 9 countries. Students have the choice to power their intelligent vehicles with Freescale's Qorivva MPC5604B Automotive Controller orFreescale's ARM Cortex M-4 Kinetis K40 Tower Kit orFreescale's ARM Cortex M-4 Kinetis K40 Kwikstik boardStudents will have to make the most of their time to create the fastest, most inventive intelligent car to race at the EMEA finals that will be schedule for end of March 2013 (location still to be disclosed). Follow the students progress on the Freescale StreetSmarts site at http://streetsmarts.freescale.com ",http://www.element14.com/community/thread/18933?start=0&tstart=0,5,7,2012,111
"Even the user interface was quite responsive. Since both the RIotBoard and the pcduino have a single core 1 ghz processor with 1 gb of ram, and since Mark had no problems, I would think the over performance of the RIotBoard should be just fine. I am curious about the other Freescale board that Element14 is involved with; the dual core MarS Board. ",http://www.element14.com/community/thread/31606?start=0&tstart=0,23,2,2014,112
"Dear John... Ahem! How about the dwarves in the mountain forge a speed increase on the RIOTBoard's sound and a FULLSCREEN tweak? Then I can stop trying to load LINUX and start enjoying it for what it is, an ANDROID developement board. ",http://www.element14.com/community/thread/32447?start=45&tstart=0,23,4,2014,311
"I have found the documentation about as unhelpful as any I've encountered, and I've been doing this since 1980. But maybe I'm just not used to the Freescale way of thinking. The example applications are good starting points, but when I wade out into deeper water I get into trouble. ",http://www.element14.com/community/thread/20576?start=0&tstart=0,5,11,2012,311
"Hello happy reviewers !I received my kit yesterday (my neighbour got it for me ! ).The small board is great and use 3 main components : a freescale µC, a FTDI serial to USB bridge and a sensor mounted on a small daughter board.This is great because you can reuse the sensor module for your application !I launched the install easily (still being with XP pro 32bit ;-))I tested the different demos for tilt and shake detection but the one i prefered was the scope.For this demo you firstly got to calibrate the sensor by putting it on the table and just press a button. After that you got a scope showing X,Y,Z and some other threshold information for the axis.I am interested because I want to develop someting like a game (snake...), and use X,Y, Z values to move on a small display...For sure I plan to reuse the sensor module because the sensor itself seems impossible to be soldered by hand !I had a look on the CD and no source code, it's a shame ! ",http://www.element14.com/community/thread/3029?start=0&tstart=0,26,7,2010,3323111
"I'm not too keen on recompiling the whole Android system like you did, especially if it took you 5 hours to compile then it'll likely take my aging workhorse macbook a few weeks to do!But I am keen on just writing some basic apps to control the IO pins - have you come across anything in there on how to do that? Right now I'm having trouble finding anything more than just a precompiled Android image to download, or any way to contact the creators for support, so also if you have any links to more information on the RIoTboard, that would be greatly appreciated  ps, maybe I missed it in your post, but where did you find the RIoTboard-Android source code? Thanks,-Nico ",http://www.element14.com/community/thread/32894?start=15&tstart=0,19,7,2014,112
How do I use PuTTY to restore my Android Image on my RIoTboard? I'm using my Raspberry Pi... ,http://www.element14.com/community/thread/32447?start=75&tstart=0,5,6,2014,22
is there an eagle library that has a part for Freescale MPXV2010DP sensor? ,http://www.element14.com/community/thread/25591?start=0&tstart=0,12,7,2013,1
"any way to contact the creators for support
    you can contact me 
any links to more information on the RIoTboard
 a list of supported accessories with all source links and OS updates will be posted very shortly. where did you find the RIoTboard-Android source code
Riotboard android source code RegardsTushar ",http://www.element14.com/community/thread/32894?start=15&tstart=0,20,7,2014,12
"Hello,exp-Arendarik Stanislay. I am lucky to see Freescale 56F8023 solar inverter, very interested, can you provide the source code of this product, I need it very much, thank you so much!! ! ",http://www.element14.com/community/thread/12888?start=0&tstart=0,8,5,2013,212
"SPI Port Problems Hey guys,I've got a cape/shield now but I'm having trouble with the SPI port. Getting access to the SPI portJust as a reminder, I'm using the Android distribution provided for the Riotboard which has the older kernel and uses board.c files instead of device trees. I'm trying to use ECSPI1 to send the initialization commands to the LCD. ",http://www.element14.com/community/thread/32894?start=0&tstart=0,27,6,2014,111
"Dies erspart dem Entwickler die manuelle Eingabe der Optionen in Textfeldern oder in der Befehlszeile. ""TASKING-Kunden freuen sich über bewährte Erfahrungen im Einsatz mit unserem C-Compiler und haben Unterstützung für die neuen Power Architecture Automotive-Derivate von Freescale (Qorivva/5xxx) und STMicroelectronics (SPC5) angefordert"", sagt Harm-André Verhoef, TASKING Produkt Manager bei Altium. ""Mit dieser Version liefern wir den Nutzern der neuesten Power Architecture die Kompatibilität mit unseren beliebten VX-Toolsets und eine robuste und effiziente Codegenerierung, die unsere Kunden zu Recht von den TASKING Tools erwarten. ",http://www.element14.com/community/thread/29437?start=0&tstart=0,18,12,2013,101
"Selsinork, You have earned my respect for the work that you have been putting into making the RiotBoard useable for others, as you have done for other products including the RPi an BBBlack in recent years. I certainly understand that you might feel a little protective of the product, and rightfully so, but your earlier comment to me was unnecessary. ",http://www.element14.com/community/thread/32447?start=45&tstart=0,24,4,2014,31
"Hello,  I have a program using the Arduino to interface with the Freescale MPR121QR2.MPR121QR2.$j(document).ready(function() {productSearch.enableProductLinkIfAvailable('addProduct-M3pUqOkz','1829874','24R9786');});
. I want to the chip to stay programmed and do the functions without the Arduino so I can use it in a product. ",http://www.element14.com/community/thread/23366?start=0&tstart=0,10,4,2013,1211
If you need more info look through the threads and blog posts. Most basic questions have been already answered.Specifically into this one: Impressions on the RIoTboard and changing its Operating System in Windows ,http://www.element14.com/community/thread/32447?start=90&tstart=0,4,7,2014,21
"It turns out they're numbered 0-3, not 1-4. */
  //.pwm_id = 3,
  .pwm_id = 2,     // PWM3
  .max_brightness = 248,
  .dft_brightness = 128,
  .pwm_period_ns = 50000,
};
This structure is used later in the mx6_RIoTboard_board_init(void) function. imx6q_add_mxc_pwm(0);
  imx6q_add_mxc_pwm(1);
  imx6q_add_mxc_pwm(2); //PWM3 for my LCD
  imx6q_add_mxc_pwm(3);
  //imx6q_add_mxc_pwm_backlight(3, &mx6_RIoTboard_pwm_backlight_data); // Not used anymore
  imx6q_add_mxc_pwm_backlight(2, &mx6_RIoTboard_pwm_backlight_data);
Finally, as far as I can remember, the last thing I had to edit was the init.rc file in android-imx6-jb4.3-1.0.0/device/fsl/RIoTboard_6solo/. Everywhere it said ""3"" I changed it to 2. ",http://www.element14.com/community/thread/32894?start=0&tstart=0,17,7,2014,112111101
Freescale: Quick Start Guide for DEMO9S08DZ60 Not FoundThe requested URL /community/servlet/JiveServlet/downloadBody/30032-102-5-243596/Freescale/HCS08/S08AD/MC9S08DZ60/Development Kits/DEMO9S08DZ60/Learning Centre/Quick Start Guide/Freescale.Quick_Start_Guide_1.pdf was not found on this server. ,http://www.element14.com/community/thread/29224?start=0&tstart=0,12,12,2013,121
"This  saves the developer from having to type options manually in text boxes or on the command line. ""TASKING customers enjoy excellent proven-in-use experiences with our C compilers and have requested support for the new Power Architecture automotive chips from Freescale (Qorivva/5xxx) and STMicroelectronics (SPC5)”, says Harm-Andre Verhoef, TASKING Product Manager at Altium. “With this release, we are delivering to users of the latest Power Architecture; compatibility with our popular VX-toolsets and the robust, efficient code generation customers can expect from TASKING"".By using TASKING’s Viper technology, compatibility to other popular TASKING toolsets is guaranteed and migration of an application to and from other architectures is straightforward. ",http://www.element14.com/community/thread/29416?start=0&tstart=0,17,12,2013,2133
Program for The Freescale Cup @ Embedded World 2012 on the test track in Connecting Hall between the East Exhibition entrance and Hall 4: 28Mar: University of Applied Sciences Deggendorf29Mar: Czech Technical University of Prague01Apr: University of Applied Sciences Landshut Interested to bring your own Freescale Cup car for test racing? Contact me at EW2012@freescale.com ,http://www.element14.com/community/thread/15801?start=0&tstart=0,9,1,2012,12
"Welcome to the Freescale Cup, where university students build an autonomous model race car and compete for the fastest time. The Freescale Cup is a global competition where student teams build, program, and race a model car around a track for speed. The fastest car to complete the track without derailing, wins. ",http://www.element14.com/community/thread/12636?start=0&tstart=0,18,4,2011,111
"Starting today, you can help crowdfund the project by pre-ordering a Novena. The Novena is based on the i.MX6Q ARM processor from Freescale, coupled to a Xilinx Spartan 6 FPGA. Combined with the open nature of the project, this creates a lot of possibilities for using the laptop as a hacking tool. ",http://www.element14.com/community/thread/32713?start=0&tstart=0,3,4,2014,311
I am starting a new development requiring low-power features and Freescale Kinetis MCU family based on ARM Cortex-M4 core captured my interest.So I am looking for some demos available to test the low power capabilities of those ICs. ,http://www.element14.com/community/thread/18069?start=0&tstart=0,3,5,2012,1
"The first finals of The EMEA Freescale Cup will be hosted by the Czech Technology University in Prague on April 3-4, 2012. Over 200 students from Germany, France, Czech Republic, Poland, Slovakia and Romania are working on their cars and an estimated 35 teams will meet to present their best intelligent vehicle. ",http://www.element14.com/community/thread/15165?start=0&tstart=0,28,10,2011,11
